702,Hyperemesis gravidarum,Vomiting,,Nausea,,Problems during pregnancy,,Sharp abdominal pain,,Pain during pregnancy,,Diarrhea,,Burning abdominal pain,,Dizziness,,Headache,,Weakness,,Vomiting blood,,Upper abdominal pain,,Hyperemesis gravidarum," complete blood count, "," intravenous fluid replacement, "," glucose measurement, "," kidney function tests, ",electrolytes panel and,standard pregnancy test,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresStandard pregnancy test],The most commonly prescribed drugs for patients with hyperemesis gravidarum include","ondansetron (zofran),"," promethazine, "," metoclopramide, "," nitrofurantoin, "," aluminum hydroxide / magnesium hydroxide, "," pyridoxine, "," miconazole topical product, "," propylthiouracil, "," methyldopa, "," trimethobenzamide (tigan), "," kaolin / pectin, ",doxylamine (unisom) and,chlorpheniramine / phenylephrine,".,[{commonMedicationsOndansetron (Zofran),{commonMedicationsPromethazine,{commonMedicationsMetoclopramide,{commonMedicationsNitrofurantoin,{commonMedicationsPyridoxine,{commonMedicationsMiconazole Topical Product,{commonMedicationsPropylthiouracil,{commonMedicationsMethyldopa,{commonMedicationsTrimethobenzamide (Tigan),{commonMedicationsDoxylamine (Unisom)],Groups of people at highest risk for hyperemesis gravidarum include ","race/ethnicity = other,","sex == female,",race/ethnicity = black and,age 15-29 years.,"On the other hand, age 75+ years, sex == male, age 60-74 years, age 1-4 years, age 45-59 years, and age < 1 years almost never get hyperemesis gravidarum.,Within all the people who go to their doctor with hyperemesis gravidarum, 93% report having vomiting, 85% report having nausea, and 74% report having problems during pregnancy. ","The symptoms that are highly suggestive of hyperemesis gravidarum are vomiting, nausea, problems during pregnancy, pain during pregnancy, and vomiting blood, although you may still have hyperemesis gravidarum without those symptoms.",,,,,,
703,Pregnancy,Uterine contractions,,Pain during pregnancy,,Problems during pregnancy,,Spotting or bleeding during pregnancy,,Cramps and spasms,,Pelvic pressure,,Pregnancy,," examination of breast, ",," other diagnostic procedures (interview; evaluation; consultation), ",,fetal monitoring,,"multivitamin, prenatal,",," rho(d) immune globulin (rhogam), ",," ferrous fumarate / folic acid / polysaccharide iron complex, "," rubella virus vaccine, "," hydroxyprogesterone (makena), "," doxylamine (unisom), "," butoconazole topical, ",dinoprostone topical and,ceftibuten (cedax),".,[{commonMedicationsMultivitamin, Prenatal,{commonMedicationsOxytocin,{commonMedicationsRho(D) Immune Globulin (Rhogam),{commonMedicationsMultivitamin With Iron,{commonMedicationsRubella Virus Vaccine,{commonMedicationsHydroxyprogesterone (Makena),{commonMedicationsDoxylamine (Unisom),{commonMedicationsButoconazole Topical,{commonMedicationsDinoprostone Topical,{commonMedicationsCeftibuten (Cedax)],Groups of people at highest risk for pregnancy include ","race/ethnicity = hispanic,",sex == female and,age 15-29 years.,"On the other hand, age 75+ years, sex == male, age 60-74 years, age 5-14 years, age 1-4 years, age 45-59 years, and age < 1 years almost never get pregnancy.,Within all the people who go to their doctor with pregnancy, 27% report having uterine contractions, 25% report having pain during pregnancy, and 24% report having problems during pregnancy. ","The symptoms that are highly suggestive of pregnancy are uterine contractions and pelvic pressure, although you may still have pregnancy without those symptoms.",,,,,,,,,,,,,,,,,,,,,
704,Thalassemia,Congestion in chest,,Insomnia,,Fatigue,,Regurgitation,,Coryza,,Knee swelling,,Diminished vision,,Pain in testicles,,Arm pain,,Muscle swelling,,Low back weakness,,Elbow weakness,,Thalassemia," complete physical skin exam performed (ml), "," hemoglobin a1c measurement, "," lipid panel, "," other diagnostic procedures (interview; evaluation; consultation), ",hiv screen and,other diagnostic procedures on skin and subcutaneous tissue,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresHemoglobin A1c measurement (Hemoglobin a1c test),{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation),{commonTestsAndProceduresHIV screen (Hiv test),{commonTestsAndProceduresOther diagnostic procedures on skin and subcutaneous tissue],The most commonly prescribed drugs for patients with thalassemia include","folic acid,"," haemophilus b conjugate vaccine (obsolete), "," hepatitis a vaccine (obsolete), "," penicillin, "," ergocalciferol, "," imatinib (gleevec), "," oxytocin, "," infliximab (remicade), "," fluocinonide topical, "," triamcinolone nasal product, "," terazosin, ",chlorpheniramine / phenindamine / phenylpropanolamine and,mecamylamine,".,[{commonMedicationsFolic Acid,{commonMedicationsHaemophilus B Conjugate Vaccine (Obsolete),{commonMedicationsHepatitis A Vaccine (Obsolete),{commonMedicationsPenicillin,{commonMedicationsErgocalciferol,{commonMedicationsImatinib (Gleevec),{commonMedicationsOxytocin,{commonMedicationsInfliximab (Remicade),{commonMedicationsFluocinonide Topical,{commonMedicationsTriamcinolone Nasal Product,{commonMedicationsTerazosin,{commonMedicationsMecamylamine],Groups of people at highest risk for thalassemia include ","race/ethnicity = other,","age 5-14 years,","age 1-4 years,",race/ethnicity = black and,age < 1 years.,"On the other hand, age 75+ years almost never get thalassemia.,Within all the people who go to their doctor with thalassemia, 23% report having pain in testicles, 23% report having knee swelling, and 23% report having regurgitation. ","The symptoms that are highly suggestive of thalassemia are regurgitation, knee swelling, pain in testicles, muscle swelling, low back weakness, and elbow weakness, although you may still have thalassemia without those symptoms.",,,,,
705,Placenta previa,Spotting or bleeding during pregnancy,,Pain during pregnancy,,Cramps and spasms,,Uterine contractions,,Delusions or hallucinations,,Problems during pregnancy,,Involuntary urination,,Vaginal discharge,,Placenta previa,," pelvis exam, ",," examination of breast, ",,blood alcohol,,"thioridazine,"," calcium citrate, ",buprenorphine / naloxone and,betamethasone topical product,".,[{commonMedicationsThioridazine,{commonMedicationsCalcium Citrate,{commonMedicationsBetamethasone Topical Product],Groups of people at highest risk for placenta previa include ","age 30-44 years,","race/ethnicity = hispanic,",sex == female and,age 15-29 years.,"On the other hand, age 75+ years, sex == male, age 60-74 years, age 5-14 years, age 1-4 years, and age < 1 years almost never get placenta previa.,Within all the people who go to their doctor with placenta previa, 60% report having spotting or bleeding during pregnancy, 38% report having pain during pregnancy, and 23% report having cramps and spasms. ","The symptoms that are highly suggestive of placenta previa are spotting or bleeding during pregnancy, pain during pregnancy, cramps and spasms, and uterine contractions, although you may still have placenta previa without those symptoms.",,,,,,,,,,,,,,,,,,,,,,,
706,Epidural hemorrhage,Back pain,,Depressive or psychotic symptoms,,Side pain,,Dizziness,,Leg pain,,Diminished hearing,,Elbow weakness,,Excessive growth,,Low back weakness,,Feeling hot and cold,,Wrist weakness,,Emotional symptoms,,Epidural hemorrhage," x-ray computed tomography, "," plain x-ray, "," cat scan of head, "," complete blood count, ",cardiac monitoring and,kidney function tests,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresX-ray computed tomography (Scan ct),{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresCAT scan of head (Head ct),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresCardiac monitoring (Cardiac monitor),{commonTestsAndProceduresKidney function tests (Kidney function test)],The most commonly prescribed drugs for patients with epidural hemorrhage include","cefazolin,"," phenytoin (dilantin), "," factor ix, "," fosphenytoin, "," eletriptan (relpax), "," atropine (uaa), "," tizanidine, "," dexamethasone, "," levetiracetam (keppra), "," aripiprazole (abilify), "," topiramate (topamax), ",midazolam (versed) and,divalproex sodium (depakote),".,[{commonMedicationsCefazolin,{commonMedicationsPhenytoin (Dilantin),{commonMedicationsFactor Ix,{commonMedicationsFosphenytoin,{commonMedicationsEletriptan (Relpax),{commonMedicationsAtropine (Uaa),{commonMedicationsTizanidine,{commonMedicationsDexamethasone,{commonMedicationsLevetiracetam (Keppra),{commonMedicationsAripiprazole (Abilify),{commonMedicationsTopiramate (Topamax),{commonMedicationsMidazolam (Versed),{commonMedicationsDivalproex Sodium (Depakote)],Groups of people at highest risk for epidural hemorrhage include ","age 75+ years,",sex == male and,"age 15-29 years.,Within all the people who go to their doctor with epidural hemorrhage, 63% report having depressive or psychotic symptoms, 63% report having back pain, and 45% report having diminished hearing. ","The symptoms that are highly suggestive of epidural hemorrhage are diminished hearing, elbow weakness, excessive growth, low back weakness, feeling hot and cold, wrist weakness, and emotional symptoms, although you may still have epidural hemorrhage without those symptoms.",,,,,,,,
707,Septic arthritis,Knee pain,,Knee swelling,,Fever,,Leg pain,,Problems with movement,,Hand or finger pain,,Elbow pain,,Feeling ill,,Skin on arm or hand looks infected,,Hip pain,,Abnormal appearing skin,,Elbow swelling,,Septic arthritis," radiographic imaging procedure, "," plain x-ray, "," kidney function tests, "," intravenous fluid replacement, ",electrolytes panel and,glucose measurement,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresGlucose measurement (Glucose level)],The most commonly prescribed drugs for patients with septic arthritis include","vancomycin,"," linezolid (zyvox), "," cefazolin, "," amlodipine / valsartan, "," atropine / hyoscyamine / phenobarbital / scopolamine, "," eszopiclone (lunesta), "," dicyclomine, "," ampicillin, "," propofol, "," oxacillin, "," nevirapine, ",chlorzoxazone and,rocuronium,".,[{commonMedicationsVancomycin,{commonMedicationsLinezolid (Zyvox),{commonMedicationsCefazolin,{commonMedicationsEszopiclone (Lunesta),{commonMedicationsDicyclomine,{commonMedicationsAmpicillin,{commonMedicationsPropofol,{commonMedicationsOxacillin,{commonMedicationsNevirapine,{commonMedicationsChlorzoxazone,{commonMedicationsRocuronium],Groups of people at highest risk for septic arthritis include ",age 60-74 years,"age 45-59 years.,Within all the people who go to their doctor with septic arthritis, 73% report having knee pain, 56% report having knee swelling, and 42% report having fever. ","The symptoms that are highly suggestive of septic arthritis are knee swelling, skin on arm or hand looks infected, and elbow swelling, although you may still have septic arthritis without those symptoms.",,,,,,,,,
708,Athlete's foot,Skin rash,,Foot or toe pain,,Skin lesion,,Itching of skin,,Skin dryness,,scaliness,,39,,27,,27,,24,,17,,17,,13,Irregular appearing scalp,13],Athlete's foot," lipid panel, "," wound care management, "," excision, "," hemoglobin a1c measurement, ",depression screen and,prostate specific antigen measurement,".,[{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresExamination of foot,{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresWound care management,{commonTestsAndProceduresExcision (Removal),{commonTestsAndProceduresHemoglobin A1c measurement (Hemoglobin a1c test),{commonTestsAndProceduresDepression screen (Depression screening),{commonTestsAndProceduresProstate specific antigen measurement (Prostate specific antigen test)],The most commonly prescribed drugs for patients with athlete's foot include","clotrimazole topical,"," terbinafine topical, "," ketoconazole, "," nystatin topical product, "," econazole topical, "," fluconazole (diflucan), "," ciclopirox topical, "," betamethasone-clotrimazole topical, "," clobetasol topical, "," triamcinolone, "," naftifine topical, ",griseofulvin and,butenafine topical,".,[{commonMedicationsClotrimazole Topical,{commonMedicationsTerbinafine Topical,{commonMedicationsKetoconazole,{commonMedicationsNystatin Topical Product,{commonMedicationsEconazole Topical,{commonMedicationsFluconazole (Diflucan),{commonMedicationsCiclopirox Topical,{commonMedicationsBetamethasone-Clotrimazole Topical,{commonMedicationsClobetasol Topical,{commonMedicationsTriamcinolone,{commonMedicationsNaftifine Topical,{commonMedicationsGriseofulvin,{commonMedicationsButenafine Topical],Groups of people at highest risk for athlete's foot include ",age 30-44 years,sex == male.,"On the other hand, age < 1 years almost never get athlete's foot.,Within all the people who go to their doctor with athlete's foot, 65% report having skin rash, 61% report having foot or toe pain, and 48% report having itching of skin. ","The symptoms that are highly suggestive of athlete's foot are itching of skin, skin dryness, peeling, scaliness, or roughness, skin on leg or foot looks infected, foot or toe swelling, skin irritation, irregular appearing nails, and irregular appearing scalp, although you may still have athlete's foot without those symptoms.",,,,,
709,Pleural effusion,Sharp chest pain,,Shortness of breath,,Cough,,Difficulty breathing,,Hurts to breath,,Back pain,,Rib pain,,Fever,,Sharp abdominal pain,,Drainage in throat,,Weakness,,Side pain,,Pleural effusion," hematologic tests, "," complete blood count, "," electrocardiogram, "," kidney function tests, ",glucose measurement and,electrolytes panel,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresElectrolytes panel],The most commonly prescribed drugs for patients with pleural effusion include","hydrocodone / ibuprofen,"," carboplatin, "," cholecalciferol, "," sodium polystyrene sulfonate (kayexalate), "," homatropine / hydrocodone, "," fondaparinux (arixtra), "," fludrocortisone, "," lidocaine-prilocaine topical, "," cefepime, "," metformin / rosiglitazone, "," aprepitant (emend), ",everolimus (afinitor) and,norfloxacin,".,[{commonMedicationsCarboplatin,{commonMedicationsCholecalciferol,{commonMedicationsSodium Polystyrene Sulfonate (Kayexalate),{commonMedicationsFondaparinux (Arixtra),{commonMedicationsFludrocortisone,{commonMedicationsLidocaine-Prilocaine Topical,{commonMedicationsCefepime,{commonMedicationsAprepitant (Emend),{commonMedicationsEverolimus (Afinitor),{commonMedicationsNorfloxacin],Groups of people at highest risk for pleural effusion include ","age 75+ years.,Within all the people who go to their doctor with pleural effusion, 82% report having sharp chest pain, 76% report having shortness of breath, and 62% report having cough. ","The symptoms that are highly suggestive of pleural effusion are hurts to breath, rib pain, and drainage in throat, although you may still have pleural effusion without those symptoms.",,,,,,,,,,
710,Aphakia,Diminished vision,,Symptoms of eye,,Pain in eye,,Eye redness,,Itchiness of eye,,Spots or clouds in vision,,Eye burns or stings,,Mass on eyelid,,Aphakia,,lens and cataract procedures and,,".,[{commonTestsAndProceduresOther therapeutic procedures on eyelids; conjunctiva; cornea,{commonTestsAndProceduresOphthalmic examination and evaluation (Eye exam),{commonTestsAndProceduresOther extraocular muscle and orbit therapeutic procedures,{commonTestsAndProceduresLens and cataract procedures,{commonTestsAndProceduresOphthalmologic and otologic diagnosis and treatment],The most commonly prescribed drugs for patients with aphakia include ",," gatifloxacin (zymar), ",," travoprost (travatan), "," moxifloxacin (avelox), ","pilocarpine ophthalmic,","cyclopentolate ophthalmic,"," ampicillin, "," bimatoprost ophthalmic, "," brimonidine ophthalmic, "," tropicamide ophthalmic, ",colistin sulfate otic and,dexamethasone ophthalmic,".,[{commonMedicationsPrednisolone Ophthalmic,{commonMedicationsGatifloxacin (Zymar),{commonMedicationsNepafenac Ophthalmic,{commonMedicationsTravoprost (Travatan),{commonMedicationsMoxifloxacin (Avelox),{commonMedicationsPilocarpine Ophthalmic,{commonMedicationsCyclopentolate Ophthalmic,{commonMedicationsAmpicillin,{commonMedicationsBimatoprost Ophthalmic,{commonMedicationsBrimonidine Ophthalmic,{commonMedicationsTropicamide Ophthalmic,{commonMedicationsColistin Sulfate Otic,{commonMedicationsDexamethasone Ophthalmic],Groups of people at highest risk for aphakia include ",age 75+ years,age 60-74 years.,"On the other hand, race/ethnicity = other almost never get aphakia.,Within all the people who go to their doctor with aphakia, 73% report having diminished vision, 28% report having itchiness of eye, and 28% report having symptoms of eye. ","The symptoms that are highly suggestive of aphakia are diminished vision, symptoms of eye, itchiness of eye, spots or clouds in vision, eye burns or stings, and mass on eyelid, although you may still have aphakia without those symptoms.",,,,,,,,,,,,,,,,,,,
711,Vulvar disorder,Skin lesion,,Vaginal discharge,,Vulvar irritation,,Vulvar sore,,Vaginal pain,,Skin growth,,Vaginal itching,,Painful urination,,Pain during intercourse,,Pelvic pain,,Lump or mass of breast,,Skin dryness,,scaliness, or roughness,10],Vulvar disorder," urinalysis, "," biopsy, "," complete physical skin exam performed (ml), "," excision, "," examination of breast, ",rectal examination and,other diagnostic procedures; female organs,".,[{commonTestsAndProceduresPelvis exam,{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresBiopsy,{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresExcision (Removal),{commonTestsAndProceduresExamination of breast,{commonTestsAndProceduresRectal examination,{commonTestsAndProceduresOther diagnostic procedures; female organs],The most commonly prescribed drugs for patients with vulvar disorder include "," estrogens, conjugated (usp) (premarin), "," estradiol, "," fluconazole (diflucan), "," valacyclovir (valtrex), "," norethindrone (loestrin fe), "," midrin, "," metronidazole topical product, "," dandelion extract, "," etonogestrel (implanon), "," sibutramine (meridia), "," acetic acid topical, ",trandolapril / verapamil and,pentosan polysulphate sodium (elmiron),".,[{commonMedicationsEstrogens, Conjugated (Usp) (Premarin),{commonMedicationsEstradiol,{commonMedicationsFluconazole (Diflucan),{commonMedicationsValacyclovir (Valtrex),{commonMedicationsNorethindrone (Loestrin Fe),{commonMedicationsMidrin,{commonMedicationsMetronidazole Topical Product,{commonMedicationsDandelion Extract,{commonMedicationsEtonogestrel (Implanon),{commonMedicationsSibutramine (Meridia),{commonMedicationsAcetic Acid Topical,{commonMedicationsPentosan Polysulphate Sodium (Elmiron)],Groups of people at highest risk for vulvar disorder include ",sex == female,age 15-29 years.,"On the other hand, sex == male almost never get vulvar disorder.,Within all the people who go to their doctor with vulvar disorder, 39% report having vaginal discharge, 39% report having skin lesion, and 35% report having vulvar irritation. ","The symptoms that are highly suggestive of vulvar disorder are vaginal discharge, vulvar irritation, vulvar sore, vaginal pain, vaginal itching, and pain during intercourse, although you may still have vulvar disorder without those symptoms.",,,,
712,Vitamin B deficiency,Dizziness,,Elbow pain,,Allergic reaction,,Difficulty speaking,,Headache,,Muscle cramps,, or spasms,,Vomiting,,Cough,,Nausea,,Knee pain,,Abnormal involuntary movements,,Hip pain,41],Vitamin B deficiency," glucose measurement, "," intravenous fluid replacement, "," electrolytes panel, "," hemoglobin a1c measurement, ",other diagnostic procedures (interview; evaluation; consultation) and,liver function tests,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresHemoglobin A1c measurement (Hemoglobin a1c test),{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation),{commonTestsAndProceduresLiver function tests (Liver test)],The most commonly prescribed drugs for patients with vitamin b deficiency include","vitamin b 12,"," ergocalciferol, "," folic acid, "," butenafine topical, "," ursodiol (urso), "," pyridoxine, "," indomethacin, "," potassium chloride, "," carbamazepine, "," fenofibrate (tricor), "," triamcinolone, ",moxifloxacin (avelox) and,allopurinol,".,[{commonMedicationsVitamin B 12,{commonMedicationsErgocalciferol,{commonMedicationsFolic Acid,{commonMedicationsButenafine Topical,{commonMedicationsUrsodiol (Urso),{commonMedicationsPyridoxine,{commonMedicationsIndomethacin,{commonMedicationsPotassium Chloride,{commonMedicationsCarbamazepine,{commonMedicationsFenofibrate (Tricor),{commonMedicationsTriamcinolone,{commonMedicationsMoxifloxacin (Avelox),{commonMedicationsAllopurinol],Groups of people at highest risk for vitamin b deficiency include ","race/ethnicity = other,","age 75+ years,","age 60-74 years,",age 45-59 years and,age < 1 years.,"On the other hand, age 30-44 years, race/ethnicity = hispanic, and age 5-14 years almost never get vitamin b deficiency.,Within all the people who go to their doctor with vitamin b deficiency, 70% report having dizziness, 41% report having muscle cramps, contractures, or spasms, and 41% report having difficulty speaking. ","The symptoms that are highly suggestive of vitamin b deficiency are elbow pain, allergic reaction, difficulty speaking, muscle cramps, contractures, or spasms, and abnormal involuntary movements, although you may still have vitamin b deficiency without those symptoms.",,,
713,Sialoadenitis,Peripheral edema,,Facial pain,,Swollen lymph nodes,,Ear pain,,Jaw swelling,,Neck mass,,Neck swelling,,Sore throat,,Neck pain,,Cough,,Difficulty in swallowing,,Nasal congestion,,Sialoadenitis," cat scan of head, "," blood culture, "," ophthalmic examination and evaluation, "," tracheoscopy and laryngoscopy with biopsy, ",other or therapeutic procedures on nose; mouth and pharynx and,psychological and psychiatric evaluation and therapy,".,[{commonTestsAndProceduresX-ray computed tomography (Scan ct),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresCAT scan of head (Head ct),{commonTestsAndProceduresBlood culture,{commonTestsAndProceduresOphthalmic examination and evaluation (Eye exam),{commonTestsAndProceduresTracheoscopy and laryngoscopy with biopsy,{commonTestsAndProceduresOther OR therapeutic procedures on nose; mouth and pharynx,{commonTestsAndProceduresPsychological and psychiatric evaluation and therapy],The most commonly prescribed drugs for patients with sialoadenitis include","clindamycin,"," augmentin, "," zosyn, "," olopatadine nasal, "," ciclesonide nasal, "," terbinafine (lamisil), "," guaifenesin / phenylephrine / phenylpropanolamine, "," metformin / sitagliptin, "," cefadroxil, ",iohexol (omnipaque) and,chlorhexidine topical,".,[{commonMedicationsClindamycin,{commonMedicationsAugmentin,{commonMedicationsZosyn,{commonMedicationsOlopatadine Nasal,{commonMedicationsCiclesonide Nasal,{commonMedicationsTerbinafine (Lamisil),{commonMedicationsCefadroxil,{commonMedicationsIohexol (Omnipaque),{commonMedicationsChlorhexidine Topical],Groups of people at highest risk for sialoadenitis include .,Within all the people who go to their doctor with sialoadenitis, 77% report having peripheral edema, 60% report having facial pain, and 51% report having swollen lymph nodes. ","The symptoms that are highly suggestive of sialoadenitis are peripheral edema, facial pain, swollen lymph nodes, jaw swelling, neck mass, neck swelling, and difficulty in swallowing, although you may still have sialoadenitis without those symptoms.",,,,,,,,,,,,,
714,Gynecomastia,Problems with shape or size of breast,,Lump or mass of breast,,Back pain,,Pain or soreness of breast,,Neck pain,,Weight gain,,Skin swelling,,Bones are painful,,Irregular belly button,,Gynecomastia,," other or therapeutic procedures on skin and breast, ",," excision, ",,ultrasonography,".,[{commonTestsAndProceduresExamination of breast,{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresMammography (Mammogram),{commonTestsAndProceduresOther OR therapeutic procedures on skin and breast,{commonTestsAndProceduresBiopsy,{commonTestsAndProceduresExcision (Removal),{commonTestsAndProceduresHemoglobin A1c measurement (Hemoglobin a1c test),{commonTestsAndProceduresUltrasonography (Ultrasound)],The most commonly prescribed drugs for patients with gynecomastia include","cefazolin,"," propofol, "," exenatide (byetta), "," tamoxifen, "," dutasteride (avodart), "," pegvisomant (somavert), "," zileuton (zyflo), "," ibuprofen / pseudoephedrine, "," thiopental (pentothal), "," chlorpheniramine / dextromethorphan / pseudoephedrine, "," vecuronium, ",biotin and,chlorpheniramine (c.p.m.),".,[{commonMedicationsCefazolin,{commonMedicationsPropofol,{commonMedicationsExenatide (Byetta),{commonMedicationsTamoxifen,{commonMedicationsDutasteride (Avodart),{commonMedicationsPegvisomant (Somavert),{commonMedicationsZileuton (Zyflo),{commonMedicationsThiopental (Pentothal),{commonMedicationsVecuronium,{commonMedicationsBiotin,{commonMedicationsChlorpheniramine (C.P.M.)],Groups of people at highest risk for gynecomastia include ","age 30-44 years,",age 5-14 years and,race/ethnicity = black.,"On the other hand, age 1-4 years almost never get gynecomastia.,Within all the people who go to their doctor with gynecomastia, 67% report having problems with shape or size of breast, 61% report having lump or mass of breast, and 55% report having back pain. ","The symptoms that are highly suggestive of gynecomastia are problems with shape or size of breast, lump or mass of breast, pain or soreness of breast, and irregular belly button , although you may still have gynecomastia without those symptoms.",,,,,,,,,,,,,
715,Urinary tract infection,Painful urination,,Suprapubic pain,,Sharp abdominal pain,,Frequent urination,,Fever,,Vomiting,,Back pain,,Nausea,,Blood in urine,,Side pain,,Retention of urine,,Lower abdominal pain,,Urinary tract infection," complete blood count, "," intravenous fluid replacement, "," glucose measurement, "," kidney function tests, ",electrolytes panel and,standard pregnancy test,".,[{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresStandard pregnancy test],The most commonly prescribed drugs for patients with urinary tract infection include","ciprofloxacin,"," bactrim, "," nitrofurantoin, "," levofloxacin (levaquin), "," phenazopyridine (azo), "," trimethoprim, "," cefixime (suprax), "," oxacillin, "," cefpodoxime, "," methenamine / sodium phosphate, monobasic, "," clofazimine, ",hyoscyamine / methenamine / methylene blue / phenyl salicylate and,trospium (sanctura),".,[{commonMedicationsCiprofloxacin,{commonMedicationsBactrim,{commonMedicationsNitrofurantoin,{commonMedicationsLevofloxacin (Levaquin),{commonMedicationsPhenazopyridine (Azo),{commonMedicationsTrimethoprim,{commonMedicationsCefixime (Suprax),{commonMedicationsOxacillin,{commonMedicationsCefpodoxime,{commonMedicationsClofazimine,{commonMedicationsTrospium (Sanctura)],Groups of people at highest risk for urinary tract infection include ",age 75+ years,"age 15-29 years.,Within all the people who go to their doctor with urinary tract infection, 65% report having painful urination, 60% report having suprapubic pain, and 60% report having sharp abdominal pain. ","The symptoms that are highly suggestive of urinary tract infection are painful urination, suprapubic pain, frequent urination, and blood in urine, although you may still have urinary tract infection without those symptoms.",,,,,,,,,
716,Histoplasmosis,Lacrimation,,Ache all over,,Cough,,Double vision,,Eye redness,,Decreased appetite,,Diminished vision,,Elbow cramps or spasms,,Elbow weakness,,Excessive growth,,Low back weakness,,Feeling hot and cold,,Histoplasmosis," examination of breast, "," lipid panel, "," x-ray computed tomography, "," ophthalmologic and otologic diagnosis and treatment, ",ophthalmic examination and evaluation and,mental health counseling,".,[{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresExcision (Removal),{commonTestsAndProceduresExamination of breast,{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresX-ray computed tomography (Scan ct),{commonTestsAndProceduresOphthalmologic and otologic diagnosis and treatment,{commonTestsAndProceduresOphthalmic examination and evaluation (Eye exam),{commonTestsAndProceduresMental health counseling],The most commonly prescribed drugs for patients with histoplasmosis include","itraconazole,"," metoprolol, "," buspirone (buspar), "," kaletra, "," hydrochlorothiazide / triamterene, "," cetirizine (zyrtec), "," esomeprazole (nexium), "," pyrimethamine, "," lecithin, "," ethambutol, "," atovaquone, ",leflunomide (arava) and,garlic preparation (kwai),".,[{commonMedicationsItraconazole,{commonMedicationsMetoprolol,{commonMedicationsBuspirone (Buspar),{commonMedicationsKaletra,{commonMedicationsCetirizine (Zyrtec),{commonMedicationsEsomeprazole (Nexium),{commonMedicationsPyrimethamine,{commonMedicationsLecithin,{commonMedicationsEthambutol,{commonMedicationsAtovaquone,{commonMedicationsLeflunomide (Arava),{commonMedicationsGarlic Preparation (Kwai)],Groups of people at highest risk for histoplasmosis include ",age 60-74 years.,"On the other hand, age 5-14 years almost never get histoplasmosis.,Within all the people who go to their doctor with histoplasmosis, 65% report having lacrimation, 47% report having double vision, and 47% report having decreased appetite. ","The symptoms that are highly suggestive of histoplasmosis are lacrimation, double vision, eye redness, decreased appetite, elbow cramps or spasms, elbow weakness, excessive growth, low back weakness, and feeling hot and cold, although you may still have histoplasmosis without those symptoms.",,,,,,,,,
